OID_,Grid_ID,Grid_E_NAD83,Grid_N_NAD83,UTM_Zone,Grid_Lat_NAD83,Grid_Long_NAD83,BCR,MgmtEntity,MgmtRegion,MgmtUnit,MgmtDistrict,County,State,PriorityLandscape,inPL
1,NM-CARSON-LE1,388500,4091500,13,36.96299337,-106.2525113,16,US Forest Service,USFS Region 3,Carson National Forest,Tres Piedras Ranger District,Rio Arriba,NM,Enchanted Circle,0
2,NM-CARSON-LE10,350500,4035500,13,36.45310737,-106.6682849,16,US Forest Service,USFS Region 3,Carson National Forest,Canjilon Ranger District,Rio Arriba,NM,Enchanted Circle,0
3,NM-CARSON-LE11,442500,4045500,13,36.55318852,-105.6424974,16,US Forest Service,USFS Region 3,Carson National Forest,Questa Ranger District,Taos,NM,Enchanted Circle,1
4,NM-CARSON-LE12,393500,4016500,13,36.28759415,-106.1859532,16,US Forest Service,USFS Region 3,Carson National Forest,El Rito Ranger District,Rio Arriba,NM,Enchanted Circle,0
5,NM-CARSON-LE13,489500,4068500,13,36.76220519,-105.1176439,16,US Forest Service,USFS Region 3,Carson National Forest,Questa Ranger District,Colfax,NM,Enchanted Circle,1
6,NM-CARSON-LE14,375500,4028500,13,36.39359183,-106.3882653,16,US Forest Service,USFS Region 3,Carson National Forest,Canjilon Ranger District,Rio Arriba,NM,Enchanted Circle,0
7,NM-CARSON-LE15,399500,4051500,13,36.60371197,-106.1236915,16,US Forest Service,USFS Region 3,Carson National Forest,El Rito Ranger District,Rio Arriba,NM,Enchanted Circle,0
8,NM-CARSON-LE16,409500,4014500,13,36.27120021,-106.0075771,16,US Forest Service,USFS Region 3,Carson National Forest,Tres Piedras Ranger District,Rio Arriba,NM,Enchanted Circle,0
9,NM-CARSON-LE17,402500,4074500,13,36.81132788,-106.0930865,16,US Forest Service,USFS Region 3,Carson National Forest,Tres Piedras Ranger District,Rio Arriba,NM,Enchanted Circle,0
10,NM-CARSON-LE18,372500,4047500,13,36.56443457,-106.4248404,16,US Forest Service,USFS Region 3,Carson National Forest,Canjilon Ranger District,Rio Arriba,NM,Enchanted Circle,0
11,NM-CARSON-LE19,432500,4001500,13,36.15589039,-105.7504111,16,US Forest Service,USFS Region 3,Carson National Forest,Camino Real Ranger District,Taos,NM,Enchanted Circle,1
