speciesID,species,birdcode
1,American Crow,AMCR
2,American Goldfinch,AMGO
3,American Robin,AMRO
4,American Three-toed Woodpecker,ATTW
5,Ash-throated Flycatcher,ATFL
6,Band-tailed Pigeon,BTPI
7,Bank Swallow,BANS
8,Bewick's Wren,BEWR
9,Black-billed Magpie,BBMA
10,Black-capped Chickadee,BCCH
11,Black-chinned Hummingbird,BCHU
12,Black-headed Grosbeak,BHGR
13,Black-throated Gray Warbler,BTYW
14,Black-throated Sparrow,BTSP
15,Blue-gray Gnatcatcher,BGGN
16,Brewer's Blackbird,BRBL
17,Brewer's Sparrow,BRSP
18,Broad-tailed Hummingbird,BTHU
19,Brown Creeper,BRCR
20,Brown-headed Cowbird,BHCO
21,Bullock's Oriole,BUOR
22,Bushtit,BUSH
23,Canada Jay,CAJA
24,Cassin's Finch,CAFI
25,Cassin's Kingbird,CAKI
26,Chipping Sparrow,CHSP
27,Clark's Nutcracker,CLNU
28,Common Raven,CORA
29,Cordilleran Flycatcher,COFL
30,Dark-eyed Junco,DEJU
31,Downy Woodpecker,DOWO
32,Dusky Flycatcher,DUFL
33,Dusky Grouse,DUGR
34,Evening Grosbeak,EVGR
35,Golden-crowned Kinglet,GCKI
36,Grace's Warbler,GRWA
37,Gray Flycatcher,GRFL
38,Gray Vireo,GRVI
39,Green-tailed Towhee,GTTO
40,Hairy Woodpecker,HAWO
41,Hammond's Flycatcher,HAFL
42,Hermit Thrush,HETH
43,Horned Lark,HOLA
44,House Finch,HOFI
45,House Wren,HOWR
46,Juniper Titmouse,JUTI
47,Ladder-backed Woodpecker,LBWO
48,Lark Sparrow,LASP
49,Lesser Goldfinch,LEGO
50,Lewis's Woodpecker,LEWO
51,Lincoln's Sparrow,LISP
52,Loggerhead Shrike,LOSH
53,MacGillivray's Warbler,MGWA
54,Mountain Bluebird,MOBL
55,Mountain Chickadee,MOCH
56,Mourning Dove,MODO
57,Northern Flicker,NOFL
58,Northern Mockingbird,NOMO
59,Northern Rough-winged Swallow,NRWS
60,Olive-sided Flycatcher,OSFL
61,Orange-crowned Warbler,OCWA
62,Pine Grosbeak,PIGR
63,Pine Siskin,PISI
64,Pinyon Jay,PIJA
65,Plumbeous Vireo,PLVI
66,Purple Martin,PUMA
67,Pygmy Nuthatch,PYNU
68,Red Crossbill,RECR
69,Red-breasted Nuthatch,RBNU
70,Red-naped Sapsucker,RNSA
71,Rock Wren,ROWR
72,Ruby-crowned Kinglet,RCKI
73,Rufous-crowned Sparrow,RCSP
74,Sage Thrasher,SATH
75,Sagebrush Sparrow,SABS
76,Savannah Sparrow,SAVS
77,Say's Phoebe,SAPH
78,Spotted Towhee,SPTO
79,Steller's Jay,STJA
80,Townsend's Solitaire,TOSO
81,Tree Swallow,TRES
82,Vesper Sparrow,VESP
83,Violet-green Swallow,VGSW
84,Virginia's Warbler,VIWA
85,Warbling Vireo,WAVI
86,Western Bluebird,WEBL
87,Western Kingbird,WEKI
88,Western Meadowlark,WEME
89,Western Tanager,WETA
90,Western Wood-Pewee,WEWP
91,White-breasted Nuthatch,WBNU
92,White-crowned Sparrow,WCSP
93,White-throated Swift,WTSW
94,White-winged Crossbill,WWCR
95,Williamson's Sapsucker,WISA
96,Woodhouse's Scrub-Jay,WOSJ
97,Yellow Warbler,YEWA
98,Yellow-breasted Chat,YBCH
99,Yellow-rumped Warbler,YRWA
