parameter,lbci,posterior.median,ubci
"psi[1,1]",0.019523297,0.233055925,0.749096176
"psi[1,10]",0.020076708,0.145070833,0.593364766
"psi[1,11]",0.009899675,0.258180682,0.738989244
"psi[1,12]",0.014672059,0.159656301,0.762539822
"psi[1,13]",0.010974746,0.119747427,0.492198809
"psi[1,14]",0.007695759,0.113770822,0.805122107
"psi[1,15]",0.015222423,0.126520483,0.439516129
"psi[1,16]",0.018131819,0.17244921,0.564946081
"psi[1,17]",0.019550079,0.198481863,0.619578293
"psi[1,18]",0.004914037,0.102434968,0.48988666
"psi[1,19]",0.012391926,0.158727281,0.533467326
"psi[1,2]",0.011997658,0.117745528,0.439657379
"psi[1,20]",0.004667531,0.117298352,0.515259332
"psi[1,21]",0,0.032408818,0.999924522
"psi[1,22]",0.012762931,0.214092793,0.54662448
"psi[1,23]",0.002770455,0.112851627,0.4581127
"psi[1,24]",0.015406818,0.190635208,0.629964115
"psi[1,25]",0.012962263,0.109998557,0.474419441
"psi[1,26]",0.018410592,0.1414968,0.788255195
"psi[1,27]",0.000130503,0.119219018,0.958615647
"psi[1,28]",0.024657119,0.178165678,0.592173756
"psi[1,29]",0.003267823,0.146666252,0.426492062
"psi[1,3]",0.008885817,0.145927287,0.658205633
"psi[1,30]",0.020475719,0.182662349,0.782829351
"psi[1,31]",0.002488423,0.135073135,0.525383431
"psi[1,32]",0.032299814,0.239618118,0.563435117
"psi[1,33]",0.015334685,0.11114993,0.360754751
"psi[1,34]",0.005072157,0.230766538,0.781927454
"psi[1,35]",0.003102692,0.139552393,0.561962887
"psi[1,36]",0.00799514,0.176709427,0.628412572
"psi[1,37]",0.003772926,0.155772721,0.538057377
"psi[1,38]",0.020858331,0.120643559,0.469204232
"psi[1,39]",0.006102233,0.152990563,0.550315248
"psi[1,4]",0.003442041,0.128690169,0.593134896
"psi[1,40]",0.005901555,0.219122891,0.709215327
"psi[1,41]",0.032818889,0.224306678,0.593185384
"psi[1,42]",0.006879765,0.218985304,0.75909328
"psi[1,43]",0.015106108,0.132870676,0.46602861
"psi[1,44]",0.016093473,0.170846427,0.480712157
"psi[1,45]",0.003652024,0.08357809,0.57759169
"psi[1,46]",0.022508767,0.227460715,0.647509932
"psi[1,47]",0.001334922,0.08014337,0.434166003
"psi[1,48]",0.022818653,0.204785842,0.541970973
"psi[1,49]",0.006373251,0.095720508,0.421651302
"psi[1,5]",0,0.000200589,0.999995536
"psi[1,50]",0.007636331,0.225836953,0.781300163
"psi[1,6]",0.00728985,0.128522194,0.413956825
"psi[1,7]",0.026563489,0.185011016,0.512387042
"psi[1,8]",0.002306293,0.123094084,0.554131147
"psi[1,9]",0.020144289,0.235285713,0.644714179
"psi[10,1]",0.000408811,0.051664809,0.294094179
"psi[10,10]",0.002125724,0.080721855,0.307171041
"psi[10,11]",0.040709965,0.274353381,0.653049878
"psi[10,12]",0.083302383,0.386400211,0.742152386
"psi[10,13]",0.144687435,0.424211876,0.80266965
"psi[10,14]",0.030368633,0.258914115,0.692404312
"psi[10,15]",0.002010591,0.122313013,0.460715153
"psi[10,16]",0.030724763,0.244577797,0.571292217
"psi[10,17]",0.013095951,0.215863533,0.618458171
"psi[10,18]",0.122436527,0.585762112,0.943292269
"psi[10,19]",0.082234973,0.385237658,0.805406523
"psi[10,2]",0.152652064,0.396831625,0.73798732
"psi[10,20]",0.21935766,0.629769366,0.937825306
"psi[10,21]",0,0.002431514,0.518697777
"psi[10,22]",0.000915442,0.071216057,0.329616047
